PET,TEXT,text_name,condition,domain,Sent_id,keystrokes,time,productivity (chr/s),num_major,num_minor,num_characters,highlight_ratio,prc_sugg_accepted,tags_edited,prc_crit_err_fixed,How difficult to translate was the source text?,How good was the quality of MT?,How useful were the error annotations? ,How accurate were the error annotations? ,How useful were the translation suggestions? ,How accurate were the translation suggestions? ,MT_DA,MT_spans,MT_severity,HT_DA,HT_spans,HT_severity
1,Text 7,news_seattle_times.800119,4,news,7,1,33.444,1.1893,0,2,76,0.1842,50,"'MAX lijn,'",1,Somewhat easy,Fair,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,66,"['schadegevallen ', 'vertrekken ']","['Minor', 'Minor']",90,['bij modellen'],['Minor']
1,Text 7,news_seattle_times.800119,4,news,8,16,93.137,1.1893,0,1,265,0.0868,100,'medewerker van de media',1,Somewhat easy,Fair,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,66,"['lijn', 'al ']","['Major', 'Minor']",100,[],[]
1,Text 7,news_seattle_times.800119,4,news,1,0,0,1.1893,0,0,51,0,100,,1,Somewhat easy,Fair,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,66,"['haven van Seattle', 'zei ', 'apparatuur ']","['Major', 'Minor', 'Minor']",90,"['haven van Seattle', 'de', 'zei ']","['Minor', 'Minor', 'Minor']"
1,Text 8,doc34,4,medical,1,9,35.765,1.3758,1,0,122,0.041,100,'geen ',1,Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,0,['geen '],['Major'],100,[],[]
1,Text 8,doc34,4,medical,2,12,85.866,1.3758,0,2,194,0.1134,50,'maagsonde',1,Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,75,[],[],100,[],[]
1,Text 8,doc34,4,medical,3,0,2.606,1.3758,0,0,49,0,N/A,,1,Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,100,[],[],100,[],[]
1,Text 8,doc34,4,medical,4,91,204.519,1.3758,0,7,304,0.2467,57.14,'werden'; 'baby’s'; 'gestational age'; 'weken opgenomen. Hun'; 'werden in'; 'studie opgenomen.',1,Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,50,"['gestational age', 'opgenomen. Hun moeders']","['Major', 'Minor']",66,['zwangerschapsduur '],['Major']
1,Text 8,doc34,4,medical,5,22,47.844,1.3758,0,1,139,0.1007,0,,1,Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,100,[],[],100,[],[]
1,Text 8,doc34,4,medical,6,37,39.659,1.3758,0,2,116,0.069,100,'drinken.',1,Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,75,['bijgehouden '],['Minor'],100,[],[]
1,Text 8,doc34,4,medical,7,65,88.246,1.3758,0,1,204,0.0049,100,,1,Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,50,"['bereikten ', '29,20 dagen', 'bereikten ', 'op ', 'op ']","['Minor', 'Major', 'Minor', 'Minor', 'Minor']",100,"['konden volledig oraal gevoed worden op ', 'gevoed konden worden op ']","['Minor', 'Minor']"
1,Text 8,doc34,4,medical,8,13,17.58,1.3758,0,3,162,0.3086,0,'gavagevoeding',1,Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,50,['gavagevoeding '],['Major'],100,[],[]
2,Text 1,news_seattle_times.800119,1,news,1,8,11.436,3.8906,0,0,51,0,N/A,,0,Somewhat easy,Good,nan,nan,nan,nan,66,['u vliegt in een Boeing 737 MAX'],['Minor'],90,['MISSING'],['Minor']
2,Text 1,news_seattle_times.800119,1,news,2,0,14.052,3.8906,0,0,104,0,N/A,,0,Somewhat easy,Good,nan,nan,nan,nan,0,['een '],['Major'],0,['een '],['Major']
2,Text 1,news_seattle_times.800119,1,news,3,41,50.556,3.8906,0,0,300,0,N/A,,0,Somewhat easy,Good,nan,nan,nan,nan,33,"['geparkeerd ', 'explosie van de romp', 'ze zullen nemen']","['Major', 'Minor', 'Minor']",90,"[' van de romp', 'modellen ']","['Minor', 'Minor']"
2,Text 1,news_seattle_times.800119,1,news,4,11,13.575,3.8906,0,0,86,0,N/A,,0,Somewhat easy,Good,nan,nan,nan,nan,100,[],[],0,['niet '],['Major']
2,Text 1,news_seattle_times.800119,1,news,5,102,50.009,3.8906,0,0,190,0,N/A,,0,Somewhat easy,Good,nan,nan,nan,nan,66,"['uitgebreid ', 'individuele ']","['Major', 'Minor']",66,['wanneer een vermelding wordt uitgeklapt'],['Minor']
2,Text 1,news_seattle_times.800119,1,news,6,7,37.14,3.8906,0,0,193,0,N/A,,0,Somewhat easy,Good,nan,nan,nan,nan,66,"['schadegevallen ', 'vertrekken ']","['Minor', 'Minor']",100,[],[]
2,Text 1,news_seattle_times.800119,1,news,7,66,29.426,3.8906,0,0,76,0,N/A,,0,Somewhat easy,Good,nan,nan,nan,nan,66,"['lijn', 'al ']","['Major', 'Minor']",90,"['lijn', ' in omloop is']","['Minor', 'Minor']"
2,Text 1,news_seattle_times.800119,1,news,8,116,97.634,3.8906,0,0,265,0,N/A,,0,Somewhat easy,Good,nan,nan,nan,nan,66,"['haven van Seattle', 'zei ', 'apparatuur ']","['Major', 'Minor', 'Minor']",50,[' luchthaven van Seattle'],['Major']
2,Text 2,doc34,1,medical,1,1,16.641,2.702,0,0,122,0,N/A,,1,Very difficult,Good,nan,nan,nan,nan,0,['geen '],['Major'],100,[],[]
2,Text 2,doc34,1,medical,2,43,44.465,2.702,0,0,194,0,N/A,,1,Very difficult,Good,nan,nan,nan,nan,75,[],[],100,[],[]
2,Text 2,doc34,1,medical,3,29,13.693,2.702,0,0,49,0,N/A,,1,Very difficult,Good,nan,nan,nan,nan,100,[],[],100,[],[]
2,Text 2,doc34,1,medical,4,80,121.114,2.702,0,0,304,0,N/A,,1,Very difficult,Good,nan,nan,nan,nan,50,"['gestational age', 'opgenomen. Hun moeders']","['Major', 'Minor']",66,['van 27-36 weken oud'],['Major']
2,Text 2,doc34,1,medical,5,41,36.123,2.702,0,0,139,0,N/A,,1,Very difficult,Good,nan,nan,nan,nan,100,[],[],100,[],[]
2,Text 2,doc34,1,medical,6,77,38.136,2.702,0,0,116,0,N/A,,1,Very difficult,Good,nan,nan,nan,nan,75,['bijgehouden '],['Minor'],50,"['regelmatig een verslag bijgehouden', ""kangoeroebaby's ""]","['Minor', 'Major']"
2,Text 2,doc34,1,medical,7,85,83.511,2.702,0,0,204,0,N/A,,1,Very difficult,Good,nan,nan,nan,nan,50,"['bereikten ', '29,20 dagen', 'bereikten ', 'op ', 'op ']","['Minor', 'Major', 'Minor', 'Minor', 'Minor']",100,[],[]
2,Text 2,doc34,1,medical,8,55,57.768,2.702,0,0,162,0,N/A,,1,Very difficult,Good,nan,nan,nan,nan,50,['gavagevoeding '],['Major'],75,['kunstmatige '],['Minor']
2,Text 3,news_pa.5274,2,news,1,45,37.167,2.3273,0,2,92,0.25,N/A,'goed in een keerpunt',1,Somewhat difficult,Fair,Neutral,Not accurate nor inaccurate,nan,nan,75,['in een keerpunt'],['Minor'],50,"[""cryptovaluta's regelgevende""]",['Minor']
2,Text 3,news_pa.5274,2,news,2,72,72.291,2.3273,1,3,202,0.1337,N/A,'''; 'ondersch',1,Somewhat difficult,Fair,Neutral,Not accurate nor inaccurate,nan,nan,75,"['notering en handel van', 'Bitcoin ', 'Bitcoin ']","['Minor', 'Minor', 'Minor']",90,"[',', 'hebben', 'Bitcoin ', 'Bitcoin ']","['Minor', 'Minor', 'Minor', 'Minor']"
2,Text 3,news_pa.5274,2,news,3,113,102.422,2.3273,0,2,208,0.149,N/A,'fondsen impliceerde dat',1,Somewhat difficult,Fair,Neutral,Not accurate nor inaccurate,nan,nan,33,['impliceerde'],['Major'],100,['bitcoin-fondsen'],['Minor']
2,Text 3,news_pa.5274,2,news,4,33,77.782,2.3273,0,0,256,0,N/A,,1,Somewhat difficult,Fair,Neutral,Not accurate nor inaccurate,nan,nan,75,['financiële'],['Major'],90,[' financiële'],['Minor']
2,Text 3,news_pa.5274,2,news,5,69,61.467,2.3273,0,2,223,0.0673,N/A,'bitcoinbe'; 'actief',1,Somewhat difficult,Fair,Neutral,Not accurate nor inaccurate,nan,nan,50,"['geloven ', 'actief ']","['Minor', 'Major']",90,"['financiële', 'geloven ', 'Bitcoin ']","['Minor', 'Minor', 'Minor']"
2,Text 3,news_pa.5274,2,news,6,526,282.62,2.3273,5,0,523,0.1472,N/A,'middel'; 'le marketing'; 'bekend waarde'; 'el en oplossingsarm'; 'naar Main Street Amerikanen',1,Somewhat difficult,Fair,Neutral,Not accurate nor inaccurate,nan,nan,33,"[""'Met de flagrant onwettige crypto-industrie die ten onder gaat door een berg aan arrestaties, strafrechtelijke veroordelingen, faillissementen, rechtszaken, schandalen, enorme verliezen en miljoenen investeerders en klanten die slachtoffer zijn geworden, had je niet gedacht"", 'Main Street Amerikanen', 'bekend ']","['Minor', 'Major', 'Minor']",90,"['financiële', 'Amerikaanse consumentenmarkt', 'fraude geteisterde']","['Minor', 'Minor', 'Minor']"
2,Text 4,doc13,2,medical,1,97,54.377,2.8522,0,5,104,0.3077,N/A,'licht',0.5,Very difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,100,[],[],100,[],[]
2,Text 4,doc13,2,medical,2,44,37.503,2.8522,0,1,174,0.0345,N/A,,0.5,Very difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,100,[],[],90,['gebleken '],['Minor']
2,Text 4,doc13,2,medical,3,68,48.676,2.8522,0,5,225,0.1822,N/A,'prothet'; 'basis',0.5,Very difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,75,['inheemse '],['Minor'],75,['inheemse '],['Minor']
2,Text 4,doc13,2,medical,4,67,52.352,2.8522,0,5,106,0.4717,N/A,'en'met''; ''zonder' co'; 'management voor'; 'at'; 'ische patiënten',0.5,Very difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,90,"[""pati�nten'met'"", 'met ']","['Minor', 'Minor']",66,"['voor ', 'en voor en']","['Minor', 'Major']"
2,Text 4,doc13,2,medical,5,160,104.341,2.8522,0,4,287,0.1429,N/A,'meer verbeterd',0.5,Very difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,75,"['meer ', 'overbrengbaarheid']","['Minor', 'Minor']",100,"['voor ', 'overbrengbaarheid ']","['Minor', 'Minor']"
2,Text 4,doc13,2,medical,6,172,100.786,2.8522,8,0,229,0.5022,N/A,'Er werden significante verschillen gevonden'; 'tot belangrijkste diagnoses'; 'revisies',0.5,Very difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,90,['belangrijkste '],['Minor'],80,['herzieningen '],['Minor']
2,Text 4,doc13,2,medical,7,130,69.977,2.8522,0,4,297,0.1987,N/A,'hogeriatrische co'; 'prothet'; 'prestaties bij overdracht',0.5,Very difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,75,"['Orthogeriatrische ', 'inheemse ']","['Minor', 'Minor']",80,['aangeboren '],['Minor']
2,Text 4,doc13,2,medical,8,88,49.738,2.8522,0,2,168,0.1548,N/A,'medebeheer',0.5,Very difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,75,['dergelijke medebeheer '],['Minor'],90,['dergelijke '],['Minor']
2,Text 5,news_scotsman.87462,3,news,1,440,299.395,1.1816,0,2,111,0.2162,N/A,"'omworstelaars'; 'steak pies,'",1,Somewhat difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,33,"['omworstelaars', 'maar niet de prijzen']","['Major', 'Major']",100,[],[]
2,Text 5,news_scotsman.87462,3,news,2,111,105.086,1.1816,0,5,206,0.1553,N/A,"'bakkers'; 'hoek,'; 'de'; 'tijd'; 'zal doorvoeren'",1,Somewhat difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,50,['een keten van bakkers op de hoek'],['Major'],90,"['Zijn ', ',']","['Minor', 'Minor']"
2,Text 5,news_scotsman.87462,3,news,3,98,65.262,1.1816,0,5,222,0.2883,N/A,'keten'; 'er’'; ' '; 'zijn''; 'de winkelketen een stabielere kostenbasis verwacht',1,Somewhat difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,25,"['de ', 'de PA', ""'momenteel plannen zijn'"", ' prijzen aan de kassa ']","['Minor', 'Major', 'Major', 'Minor']",90,['prijzen aan de kassa'],['Minor']
2,Text 5,news_scotsman.87462,3,news,4,136,66.824,1.1816,0,5,133,0.3609,N/A,"'winkels op een netto basis,'",1,Somewhat difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,75,['om klanten toegang tot zijn winkels te bieden'],['Minor'],75,['m de toegang van klanten tot zijn winkels te verbeteren'],['Minor']
2,Text 5,news_scotsman.87462,3,news,5,181,141.885,1.1816,0,2,118,0.1186,N/A,'op',1,Somewhat difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,66,['winkelparken'],['Minor'],90,[],[]
2,Text 5,news_scotsman.87462,3,news,6,333,254.277,1.1816,0,2,258,0.1938,N/A,"'steakpudding heeft teruggebracht,'; 'kerstlunch-bagel.'",1,Somewhat difficult,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,66,"['steakpudding ', 'chocolade-oranje muffin']","['Minor', 'Major']",75,"['sinaasappel en', 'MISSING']","['Minor', 'Minor']"
